"Ec yn chyndaa veih ny papishyn,[47] tra va goll-my geayrt trooid craueeys er ny chur sheese,[48] va shooyl cagleeyn ny skeeraghyn smooinit ymmyrchagh dy ve freilt seose; tra ve pointit dy jinnagh ny saggyrtyn as deiney mie ny skeerey shooyl my-geayrt ny Cagleeyn ec,[49] as ec paart dy ynnydyn myr ballin[50] [sic: balliu = bailloo] cur booise da Jee, ayns coyrt-my-ner e Vannaghtyn, son bishagh as palchey jeh ny Messyn echey er y thalloo, gra yn wheig feedoo[51] as yn chiarroo Psalm: ec y traa-cheddin ta’n Saggyrt dy jeean cur magh yn raa shoh as raaghyn laik rish, “Ta mollaght ersyn[52] ta scughey cagliagh e naboo.” Deut. xxvii. 27 [sic: 17].","At the Reformation, when all Processions were banished, the perambulation of the circuits of parishes was thought necessary to be retained; when it was ordered that the Minister and substantial Men of the parish should walk about the bounds thereof, and at certain convenient places should give thanks to God, in the beholding his benefits, for the increase and abundance of His fruits upon the [71] earth, with the saying of the 104th Psalm. At which time also the Minister is to inculcate this and the like sentences, “Cursed is he that translateth the bounds and doles of his neighbour;” or, as we now read it, “Cursed is he that removeth his neighbour’s land-mark.” Deut. xxvii. 17.",
Q. Cre t’ou toiggal liorish yn chyndaa veih passishyn [sic: papishyn],Q. What is meant by the Reformation?,
"A. Yn cagh laa [sic: caghlaa] ’sy chredjue va currit lesh gys kione[53] ayns yn ashoon shoh, rish lhing Ree Edward yn cheyoo jeh’n Ennym, as Ben-reïn Elizabeth tra ren nyn shenn-ayryn[54] treigeil ny cur dy lhiattee reddyn aggairagh v’ayns Agglish y Raue,[55] as hug ad er y hoshiaght yn aght shen dy ooashley ta nish er ny cliaghtey ayns Aglish hoghsyn,[56] cummal kinjagh[57] shickyr as goaill rish yn chenn[58] chredjue firrinagh, er ny ghlenney [42] veih foiljyn as aghtyn fardalagh va ny veggan as ny veggan er lhiantyn huck.[59]","A. That change in Religion which was brought about in this nation during the reigns of King Edward the Sixth and Queen Elizabeth, when our forefathers renounced or threw off the corruptions of the Romish Church, and established that way of worship which is now used by the Church of England, still holding fast the profession of the true old religion, cleansed from many errors and superstitions which had by degrees been added thereto.",
15. CHAB.,SECT. XV.,
Q. CRE t’ou toiggal liorish yn fockle Pentateuch?,Q. What does the word Pentateuch signify?,
A. Yn chied wheig lioaryn jeh’n Vible scruït liorish Moses.,"A. The first five Books of the Bible, written by Moses.",
Q. Cre’n Oyr ta’n chied lioar enmyssit Genesis?,Q. Why is the first book called Genesis?,
"A. Er yn Oyr dy vel eh cur dooin Coontey jeh toshiaght reddyn, lheid as croo yn Seihll as ooilley ny t’ayn, bishagh Sheelnaue lurg yn thooilley, as jeh Sheelogheyn as luightyn thie deiney crauee ’sy chen earish.","A. Because it gives an account of the original or first beginning of things; as the creation of the world, and all that is therein, the renewing of mankind after the flood, and of the generations and families of holy men of old.",
Q. Cre’n Oyr t’an nah lioar dy Voses enmyssit Exodus?,Q. Why is the second book of Moses called Exodus?,
A. Er yn Oyr dy vel ee[60] son y chooid smoo bentyn rish cloan Israel faagail Egypt.,A. Because it chiefly relates to the departure of the children of Israel out of Egypt.,
Q. Cre’n fa ta’n trass lioar enmyssit Leviticus?,Q. Why is the third book called Leviticus?,
"A. Er y fa dy vel ee ginsh mychione Ourallyn ny Saggyrtyn, va dy ve jeh chynney[61] ny sluight Levi.","A. Because it treats of the sacrifices of the Priests, who were to be of the tribe or posterity of Levi.",
Q. Cre’n fa ta’n chiarroo lioar enmyssit ny Earrooyn.,Q. Why is the fourth book of Moses styled Numbers?,
"A. Er y fa dy vel ec [sic: ee] ghoail toshiaght lesh coontey earroo pobble Israel, as goaill stiagh ’sy choontey ny reddyn sbaghtal ren ad ny hur ad, choud as ren ad wandrail[62] ’syn aasagh.","[73] A. Because it begins with an account of the numbering of the people of Israel, and contains the most remarkable things which they did or suffered during their wandering in the wilderness.",
Q. Cre’n fa ta’n wheiggoo lioar enmyssit Deuteronomy?,Q. Why is the fifth book styled Deuteronomy?,
"A. Er-y-fa dy vel ec [sic: ee] loayrt jeh livrey yn leigh, ny ny jeih annaghyn, yn nah cheayrt, as genmys harrish reesht caghlaaghyn dy leighyn elley marish oyryn as coyrle dooin dy chur geïll daue.","A. Because it speaks of the delivery of the Law or Ten Commandments the second time; and contains a repetition of divers other laws, with motives and exhortations to observe them.",
Q. Cre ny lioaryn ’sy chenn chonaant[63] nagh vel coontey shickyr ain quoi ren ad?,Q. Of what books in the Old Testament have we no certain account who were the authors?,
"A. Joshua, ny Briwnyn, Ruth, daa lioar Samuel as ny reeagh yn [sic: reeaghyn], as lioar Yob; cha moo  [i.e. t’eh] jeh veg y vadyr dy gheddyn fys quoi screeu ad, myr ta shin feer shickyr dy row ad Deiney va pointit as hooar cooney veih Spyrryd casherick Yee.","A. Joshua, Judges, Ruth, two books of Samuel and of Kings, and the book of Job; nor is it material to know who wrote them, as we are well assured they were men directed and assisted by the Holy Spirit of God.",
Q. Quoi screeu daa lioar ny Recoyrtyssyn?[64],Q. Who wrote the two books of Chronicles?,
"A. Ta Ezra smooinit do [sic: dy v’er] screeu ny lioaryn shoh, va kiarit son y chooid-smoo dy yannoo magh ny coontaghyn mychione Reeaghyn Yudah, as dy chur cooidjagh lheid ny ayrnyn jeh’n recoyrtys casherick, as nagh row screeuit ayns lior Samuel as ny Reeaghyn, as dy cheau soilshey er ayrnyn jeu.","A. Ezra is supposed to have written these books, which were chiefly designed to complete the records concerning the [74] Kings of Judah, and to gather up such parts of sacred history as were omitted in the books of Samuel and Kings, and to explain some passages therein.",
Q. Quoi ta smooinit dy v’er screeu lioar Esther?,Q. Who is supposed to have written the book of Esther?,
A. Ezra; ga dy vel paart erreeesh [sic: erreish][65] smooinaght dy ren Mordecai yn Hew[66] screeu ec [sic: ee] dooinney crauee dy Yee as yn Ard-Er ta coontey jeh[67] ’sy lioar shoh. ,"A. Ezra; though some have thought Mordecai the Jew to have been the author of it, an holy man of God, and a principal actor in this history.",
[43] Q. Cre ta dy ve toiggit liorish yn Apocrypha?,Q. What does the title Apocrypha signify?,
"A. Lioaryn, ta son y chooid smoo dooitit dy ve liorish pointeil Yee: as ga dy vel ayn doo [sic: ayndoo] lane Ynsagh vondeishagh as mie marish Sampleyryn dy chrauceys [sic: chraueeys], foast cha vel ad credjit ny jeeaghit er myr ny Scriptyryn elley ’sy vible, jeu t’ain prowal fondagh dy row ad screeuit liorish deiney crauee ren loayrt myr v’ad greinnit[68] liorish yn Spyrryd Noo.","A. Books whose divine Authority hath been generally doubted of. And although they contain many useful instructions and examples of piety, yet are not to be believed or regarded like the other Scriptures in the Bible, of which we have undeniable proof that they were written by holy men, who spake as they were moved by the Holy Ghost.",
Q. Cre ta toiggit liorish Sushtallagh?,Q. What is meant by an Evangelist?,
"A. Teh meanal Fer ta soilshagh magh Niaghtyn mie, va’n ennym shoh currit hoshiaght da dy chooilley Er ren y Sushtal y preacheil, agh ny lurg shen da’n chiare[69] shoh screeu Bea as preacheil nyn Saualtagh, ta shen dy ghra Noo Mian, Mark, Luke, as Ean.","A. It signifies a publisher of good tidings; which name was at first given to all those who preached the Gospel, but afterwards it came to be confined to those four who wrote the history of our Saviour’s [75] Life and Preaching, namely, St. Matthew, Mark, Luke, and John.",
Q. Quoi screeu jannoo ny Ostyllyn crauee?,Q. Who wrote the Acts of the holy Apostles?,
"A. Noo Luke, ta ayns shen soilshagh ny reddyn sbaghtal va jeant liorish Ostyllyn Chreest lurg yn goll seose echey gys Niau.","A. St. Luke, who therein relates the chief things that were done by the Apostles of Christ after his Ascension into Heaven.",
Q. Cre ny lioaryn elley t’ayns y chonaant noa?,Q. What other Books are contained in the New Testament?,
"A. Kiare Screeuyn jeig, screeuit liorish y Noo Paul; unnane liorish y Noo Jamys; jees liorish Noo Peddyr; unnane liorish Noo Jude; three liorish y Noo Ean, (as ashlys[70] y Noo Ean screeu eh myrgeddin.)","A. Fourteen Epistles written by St. Paul; one by St. James; two by St. Peter; one by St. Jude; three by St. John the Evangelist, (and the Revelations, of which he was also the author.)",
Q. Cre’n Oyr ta ny lioaryn shoh enmyssit Screeunyn?,Q. Why are those books called Epistles?,
"A. T’ad keint dy screeunyn crauee va cour sleih[71] yn ynnyd ny’n ashoon shen huc v’ad er ny choyrt,[72] ny gys paart dy sleih ooasle[73] er lheh; agh ta ayndoo Saraghyn as ynsagh da dy chooilley Chreestee nyn lurg, dy ghoaill tastey jeu as dy eiyrt daue, as v’ad screeuit liorish Deiney va Spyrryd Yee ayndoo, ostyllyn casherick Chreest.","A. They are a kind of religious letters to the people of that place or nation to whom they are directed, or to some particular person of eminence; but contain precepts of instruction for all succeeding Christians to observe and follow, as they were written by inspired men, the holy Apostles of Christ.",
Q. Quoi va Timothy?,Q. Who was Timothy?,
"A. Aspick Ephesus, Balley mooar ayns Asia.","[76] A. Bishop of Ephesus, a city in Asia.",
Q. Quo [sic: Quoi] va Titus?,Q. Who was Titus?,
"A. Aspick Crete, ellan ayns Greece.","A. Bishop of Crete, an island of Greece.",
Q. Quoi screeu yn Screeunyn [sic: Screeuyn] gys ny Hebrewnee?,Q. Who wrote the Epistle to the Hebrews?,
"A. Te raait son y chooid-smoo dy ve unnane jeh’n chiare jeig shen screeu yn Noo Paul; ga nagh vel ee[74] goaill toshiaght lesh e Ennym myr ayns ny Screeunyn elley; er yn Oyr shoh myr te smooinit, er son dy row eh jeant ny Ostyl, cha nee wheesh cour[75] ny Hewnyn, huc va’n screeunyn [sic: screeuyn] shoh er ny chouyrt, as ve cour ny ashoonyn quaagh,[76] va dy cairal fo’n churrym echey.","A. It is generally said to be one of those fourteen which St. Paul wrote; though it does not begin with his name, as in other Epistles; for this reason, as is supposed, because he was made an Apostle, not so much of the Jews, to whom this Epistle was sent, as of the Gentiles, who were properly his charge.",
Q. Cre ta toiggit liorish yn fockle Apocalypse? ,Q. What is meant by the word Apocalypse?,
"[44] A. Ta toiggit liorish son y chooid smoo Ashlys ny red erbee ta shin jeant toiggalagh jeh: agh te raait er lheh jeh Ashlys y Noo Ean, hug Jee da, tra ve eeb’ryt gys Ellan Patmos.","A. It signifies in general any revelation or vision; but is peculiarly applied to the Revelation of St. John, which God gave him when he was banished into the isle of Patmos.",
Bun currit er Focklyn crauee elley nagh row roï enmyssit.,"Some other Religious Terms explained, not before mentioned.",
Q. CRE t’ou toiggal liorish Jee?,Q. What do you mean by the existence of God?,
A. Dy vel Jee ny Spyrryd.[77],A. The Being of God.,
Q. Cre t’ou toiggal liorish ard-phooaryn Yee?[78],Q. What do you mean by the Attributes of God?,
"A. Ard-feeuit ny fondit; lheid as e phooar, e Chreenaght e Vieys, as nyn lheid.","A. His Excellences or Perfections, such as his Power, Wisdom, Goodness, and the like.",
Q. Cre t’ou toiggal liorish pooar ooilley niartal?[79],Q. What do you mean by Omnipotence?,
A. Dy vel pooar ec Jee dy yannoo dy chooilley nhee.[80],A. God’s Almighty Power.,
Q. Cre t’ou toiggal liorish dy vel Jee kionfenish ooilley?[81],Q. What do you mean by Omnipresence?,
A. Dy vel Jee ayns dy chooilley ynnyd.,A. God’s being present in all places.,
[Q.] Cre t’ou cheet er liorish dy vel echey slane toiggal?[82],Q. What do you mean by Omniscience?,
A. Dy vel toiggal as fys firrinagh ec Jee er dagh Nhee.,A. God’s perfect knowledge of all things.,
"Q. Cre t’ou toiggal liorish reddyn t’er ny akin, as nagh vel ry akin?",Q. What do you mean by things visible and invisible?,
"A. Reddyn t’er ny akin, t’ad lheid as ta shin fakin ayns shoh er y thalloo; as reddyn nagh vel ry akin, t’ad ny reddyn nagh vel shin foast fakin lheid as Ainlyn as adsyn t’ayns Niau, &c.","A. Things visible are those things we see here on earth; invisible, are things [78] we do not yet see, as Angels, Beings in Heaven, &c.",
Q. Cre t’ou toiggal liorish credjue?,Q. What do you mean by Religion?,
A. Yn Ooashley as yn Chirveish ta shin cur da’n ooilley niartal Jee.,A. The Worship and Service which we pay to Almighty God.,
Q. Cre t’ou toiggal liorish Ashlish flaunissagh?,Q. What do you mean by a divine Revelation?,
A. Aigney Yee soilshit[83] dooin ayns ny Scriptyryn casherick.,A. The will of God revealed or made known to us in the Holy Scriptures.,
Q. Cre t’ou toiggal liorish Jeeys nyn Saualtagh Creest?,Q. What do you mean by the Divinity of our Saviour Christ?,
A. Dy vel eh yn Jee smoo ard.,A. His being the most high God.,
Q. Cre t’ou toiggal liorish Dooghys sheelnaue?,Q. What do you mean by human nature?,
A. Dooghys Dooinney.,A. The nature of man.,
Q. Cre ta’n fockle Yeesey meanal?,Q. What does the word Jesus signify?,
A. Saualtagh.,A. A Saviour.,
Q. Cre ta toiggit liorish yn fockle Messiah ny Creest?,"Q. What does the word Messiah, or Christ, signify?",
A. Ooilit.,A. Anointed.,
Q. Cre t’ou toiggal liorish co chaslys? ,Q. What do you mean by a type?,
[45] A. Courey ny Scaa jeh red erbee.,A. A figure or shadow of any thing.,
Q. Cre t’ou toiggal liorish goaill foalley Chreest?,Q. What do you mean by Christ’s Incarnation?,
A. Dy ghow eh er yn eill ain.,A. His taking upon Him our flesh.,
Q. Cre ta toiggit liorish dy rug eh?[84],Q. What does his Nativity signify?,
A. Cheet er y theihll Chreest.,A. The Birth of Christ.,
Q. Cre t’ou toiggal liorish yn uilliaghtyn[85] echey?,[79] Q. What do you mean by his Passion?,
A. Surranse Chreest.,A. The Sufferings of Christ.,
Q. Cre t’ou toiggal liorish Creest cheet dy ve lhiasaghey er nyn son?,Q. What do you mean by Christ’s being a Propitiation or Atonement for us?,
"A. Geddyn baase ayns yn ynnyd ain, as meenagh Corree Yee.","A. His dying in our stead, and pacifying the wrath of God.",
Q. Cre t’ou toiggal liorish yn fockle Oural?[86],Q. What do you mean by the word Oblation?,
A. Dy ren eh chebbal seose eh hene.,A. Offering up himself.,
Q. Cre t’ou toiggal liorish yn fockle chebbal?[87],Q. What does the word Sacrifice signify?,
A. Dy ren eh oural jeh hene da Jee.[88],A. An offering made to God.,
Q. Cre t’ou toiggal liorish yn Conaant noa ayns Fuill Chreest?,Q. What do you mean by the New Testament in Christ’s blood?,
A. Yn conaant noa cosnit liorish Surranse Chreest.,A. The New Covenant obtained by the sufferings of Christ.,
Q. Cre t’ou toiggal liorish Doltanys?,Q. What do you mean by Adoption?,
"A. Jee goaill shin reesht son y chloan hene, lurg dooin v’er ny ghoaill ayns foayr rish[89] trooid nyn Jiarn Yeesey Creest.","A. God’s owning us again for his children, after our being reconciled to Him through our Lord Jesus Christ.",
Q. Cre t’ou toiggal liorish Obbraghyn y Spyrryd Noo?,Q. What do you mean by the Operations of the Holy Ghost?,
"A. E ghiootyn, ny gobbraghey mie aynin.","A. His Gifts, or working Good in us.",
Q. Cre t’ou toiggal liorish v’er ny lhieeney lesh yn Spyrryd Noo?,Q. What do you mean by Inspiration or Inspired?,
"A. Obbyr ennagh jeant, ny persoon ennagh feddyn cooney liorish pooar yindyssagh Spyrryd casherick Yee.","A. Some work done, or some Person [80] assisted by the extraordinary power of God’s Holy Spirit.",
Q. Cre t’ou toiggal liorish shen ta son y chooid smoo enmyssit yn Peccah noi’n Spyrryd Noo nagh vod ve er ny phardooney?,Q. What do you mean by that which is commonly called the unpardonable Sin against the Holy Ghost?,
A. Cha vel eh ayns ynnyd erbee er ny ghra ayns y Scriptyr dy vel jannoo Peccah noi’n Spyrryd Noo gyn pardoon.,"A. It is no where said in Scripture, that sinning against the Holy Ghost is unpardonable.",
Q. Cre eisht t’er ny gra nagh bee er ny phardooney?,Q. What is it then that is said to be unpardonable?,
A. Goan mollaghtagh noi’n Spyrryd Noo.,A. Blasphemy against the Holy Ghost.,
Q. Cre ta toiggit liorish goan mollaghtagh?,Q. What is meant by Blasphemy?,
"A. Loayrt goan meechrauee, as oltooanagh noi Jee.",A. The speaking wicked and reproachful words against God.,
"Q. Cre ta dy ve toiggit liorish Goan mollaghtagh noi yn Spyrryd Noo, er ny ghra ayns yn Scriptyr dy ve gyn Pardoon.","Q. What is to be understood by the Blasphemy against the Holy Ghost, said in Scripture to be unpardonable?",
"A. V’eh Meechraueeys ny Phariseeyn, ren tra honnick ad nyn Saualtagh gobbraghey mirrillyn liorish pooar yn Spyrryd Noo, dy goanlyssagh[90] loayrt goan mollaghtagh nyn oi, as [46] dooyrt ad, dy row ad jeant liorish cooney yn drogh Sp’ryd.[91]","A. It was the wickedness of the Pharisees, who, when they saw our blessed Saviour work his miracles by the power of the Holy Ghost, maliciously blasphemed them, and said, They were done by the help of the Devil.",
Q. Cre t’ou toiggal liorish tuittym ersooyl veih Jee?,Q. What do you mean by Apostacy?,
"A. Tuittym ersooyl veih’n credjue Creestee, as cheet dy ve mee chredjuagh.","A. A falling away from the Christian Religion, and becoming an Unbeliever.",
Q. Cre t’ou toiggal liorish peccah nyn n’ghooghys?[92],[81] Q. What do you mean by Original Sin?,
"A. Yn Loght ny’n Peccah,[93] ta ruggit lesh dy chooilley Ghooinney, kindagh rish mee-viallys Adam.[94]",A. That guilt of sin which all men are born with by means of Adam’s fall.,
Q. Cre ta toiggit liorish Peccaghyn daney?,Q. What is meant by Presumptuous Sins?,
"A. Peccaghyn jeh ny ’nhoin [i.e. nyn yoin], ny jannoo ny ta fys ain ta ’sy traa cheddin neeu-wooisal da Jee.","A. Wilful Sins, or doing what we know is at the same time displeasing to God.",
Q. Cre t’ou toiggal liorish Peccaghyn dy annoonid?,Q. What do you mean by Sins of Infirmity?,
"A. Lheid ny Peccaghyn as failleilyn fardalagh, as nagh vod ny deiney share chea vou ny shaghney[95] kindagh rish annoonid yn dooghys ain.","A. Such smaller slips and failings as the best of men cannot avoid, by reason of the weakness of our nature.",
Q. Cre t’ou toiggal liorish leih nyn Beccaghyn?,Q. What do you mean by the Remission of Sins?,
A. Pardoon as leih nyn beccaghyn trooid nyn Jiarn Yeesey Creest.,A. The pardon and forgiveness of our sins through our Lord Jesus Christ.,
Q. Cre t’ou toiggal liorish Cree arryssagh?,Q. What do you mean by Contrition or a contrite Heart?,
A. Cree dy firrinagh trimshagh son Peccah.,A. An Heart truly sorry for Sin.,
,Q. What do you mean by Penitent?[96],
,"A. One that repents, or forsakes Sin.",
Q. Cre t’ou toiggal liorish ve mee-arryssagh?,Q. What do you mean by Impenitent?,
"A. Fer nagh jean goaill arrys, agh ta goll er y hoshiaght ayns Peccah.","A. One that will not repent, but goes on in Sin.",
Q. Cre t’ou toiggal liorish Aigney ny foalley?,"Q. What do you mean by Carnal, or Carnally-minded?",
A Geiyrt da Sayntyn[97] ny foalley.,[82] A. The being given to fleshly Lusts.,
Q. Cre t’ou toiggal liorish Neuheeltys?,Q. What do you mean by Intemperance?,
"A. Meshtallys, as jannoo drogh ymmyd jeh cretooryn mie Yee.","A. Drunkenness, and the abuse of God’s good creatures.",
Q. Cre t’ou toiggal liorish myngyraght?[98],Q. What do you mean by Purloining?,
"A. Ta myngyraght goaill veih fer elley eraght [sic: er aght] neu-yeeragh, as meeonneragh yn chairys echey, ta caghlaa[99] red ennagh veih maarlys, agh te yn un red.[100] Ta’n Noo Paul loart jeh myr foill Sharvaantyn noi ny kianglaghyn t’orroo, jeh soilshagey [sic: soilshaghey] slane jeajys firrinagh Tim. [sic: Titus] ii. 10. as myr shoh foddee eh ve jeeaghit er myr neuyeajys ayns goaill kiarrail jeh cooid ta treihtit [sic: treishtit] er sharvaantyn, ayns cur magh argyd da nyn Mainstyryn as y lheid.","A. Purloining is an indirect and dishonest depriving another person of his right and property, that differs somewhat from downright Theft, but is in effect the same thing. St. Paul speaks of it as the fault of servants, contrary to the obligations they are under of shewing all good fidelity, Titus ii. 10. And thus considered, it may signify unfaithfulness in the Things good Servants are intrusted with, in laying out money for their Masters, &c., and the like.",
Q. Cre t’ou toiggal liorish jannoo lhiasaghey?,Q. What do you mean by Restitution?,
A. Chyndaa reesht shen ny va dy agairagh goit ersooyl.,A. The restoring again what was wrongfully taken away.,
Q. Cre t’ou toiggal liorish Brinnerys?[101],Q. What do you mean by Dissimulation?,
"A. Craueeaght foalsey, ny liggey[102] orrin un red tra ta shin kiarail red elley.","A. Hypocrisy, or pretending one thing when we mean another.",
Q. Cre t’ou toiggal liorish briwnyns [sic: briwnys] foiljyn sleih elley?[103] ,Q. What do you mean by Censoriousness?,
[47] A. Briwnys dy siyragh feallagh elley.,[83] A. Rash judging of others.,
Q. Cre t’ou toiggal liorish ynrickys?[104],Q. What do you mean by Integrity?,
A. Jeeryt ny firrinys Cree.,A. Uprightness or Sincerity.,
Q. Cre t’ou toiggal liorish Jeajys?[105],Q. What do you mean by Fidelity?,
A. Dy ve jeeragh ny onneragh.,A. Faithfulness or Honesty.,
Q. Cre t’ou toiggal liorish ruggey reesht?,Q. What do you mean by Regeneration?,
"A. Dy ve ruggit ass-y-noa, ny cheet dy ve cretooryn noa, ayns cairys as casherickys firrinagh.","A. The being born again, or becoming new creatures in righteousness and true holiness.",
Q. Cre t’ou toiggal liorish ny Saasyn dy ghrayse?,Q. What do you understand by the means of Grace?,
"A. Padjer foshlit as er lheh, preacheil yn Goo; ny Sacramentyn casherick, &c.","A. Prayer, public and private; preaching; the word of God; the holy Sacraments, &c.",
Q. Cre’n fa ta’d enmyssit ny Saasyn dy ghrayse?,Q. Why are they called means of Grace?,
"A. Hoshiaght, er-y-fa dy vel ad ny Saasyn dy yentyn as dy vishagh Mieys as dy chooilley Ghrayse Chreestee aynin. ’Sy nah ynnyd, er y fa dy vel ad ny saasyn lioroo ta Jee cur dooin Grayse e Spyrryd casherick.","A. First, Because they are the means of begetting and increasing Virtue and all Christian Graces in us. Secondly, Because they are the means whereby God conveys to us the grace of his Holy Spirit.",
Q. Cre t’ou toiggal liorish yn fockle Liturgy?,Q. What do you mean by the word Liturgy?,
"A. Te meanal Shirveish foshlit, as ta ymmyd jeant jeh son y[n] Aght[106] foshlit dy phadjer ’sy cheeill.","A. It signifies public Office or Service, and is used for the public Form of Prayer in our Church.",
Q. Cre t’ou toiggal liorish yn fockle Litany?,[84] Q. What do you mean by the word Litany?,
A. Accan ny Padjer son ooilley sheelnaue.,A. A general Supplication or Prayer.,
Q. Cre t’ou toiggal liorish Collectyn?,Q. What do you mean by Collects?,
A. Padjeryn giare[107] er ny chur dy cheiley as chaglit[108] veih Scriptyryn casherick.,A. Short Prayers; or Prayers collected and gathered out of the Holy Scripture.,
Q. Cre t’ou toiggal liorish yn Agglish chaggee[109] ayns shoh wass er y thalloo?,Q. What do you mean by the Church Militant here on earth?,
"A. Dy chooilley Chreestee vie[110] ayns shoh er y thalloo, ta dy ghleck noï[111] prowallyn, Seaghynyn as Miolaghyn.","A. All good Christians here on earth, who have to struggle with Trials, Afflictions, and Temptations.",
Q. Cre t’ou toiggal liorish jeanyd ’sy Chredjue?,Q. What do you mean by Zeal?,
A. Geill creeoil da’n Chredjue Creestee.,A. An earnest regard for Religion.,
Q. Cre t’ou toiggal liorish jeanyd ayns Padjer?,Q. What does Fervency in Prayer signify?,
A. Dy ghoaill Padjer er aght creoill.,A. Earnestness in Prayer.,
Q. Cre t’ou toiggal liorish cummal rish ’sy chredjue?[112],Q. What do you mean by Perseverance?,
A. Tannaghtyn dy kinjagh ayns nyn Gurrym.,A. A continuing constantly in our duty.,
Q. Cre t’ou toiggal liorish Beayntys[113] yn Annym?,Q. What do you mean by the Immortality of the Soul?,
A. Nagh vow[114] yn Annym dy bragh baase.,A. That the Soul shall never die.,
Q. Cre t’ou toiggal liorish yn stayd ta ry heet?,Q. What do you mean by a future State?,
A. Yn seihll elley ta ry heet[115] ny lurg shoh.,A. That other world which is to come after this.,
Q. Cre t’ou toiggal liorish braa as beayntyss braa?[116],[85] Q. What do you mean by Eternal and Eternity?,
A. Tannaghtyn son dy bragh as dy bragh.,A. The continuing for ever and ever.,
Q. Cre t’ou toiggal liorish Eunys?[117],Q. What do you mean by Felicity?,
A. Maynrys. ,A. Happiness.,
[48] Q. Cre t’ou toiggal liorish yn goaill solley dy Vaynrys chammah[118] ayns Coap [sic: Corp] as annym?,Q. What do you mean by Consummation and Bliss both in Body and Soul?,
A. Yn slane towse de [sic: dy] voggey as dy vaynrys[119] yow yn sleih craude [sic: crauee] ayns Niau.,"A. That Fulness of Joy and Blessedness, which the Righteous shall obtain in Heaven.",
,,
"Gow Tastey, dy vel paart dy ocklyn, lheid as Arrys, credjue as feallagh elley, shegin dhyt jeeaghyn er y hon oc ayns y chied ayrn; raad ta bun orroo.[120]","Note here, There are some considerable words, as Repentance, Faith, and others, which you must look for in the First Part, being there explained.",
PADJERYN GIARE,SHORT FORMS,
as aashagh,of,
Marish Coyrleyn Ymmyrchagh,PRAYER; &c.,
er,for,
Caghlaaghyn Oyr.,SEVERAL OCCASIONS;,
Noo Mian. vi. 6.,Matt. vi. 6.,
"Guee gys dty Ayr dy follit, as nee dty Ayr ta fakin ny ta jeant dy follit, leagh y chur dhyt dy foshlit.","—Pray to thy Father, which is in secret, and thy Father, which seeth in secret, shall reward thee openly.",
Padjeryn giare as Aashagh MARISH COYRLYN YMMYRCHAGH er CAGHLAAGHYN OYR., SHORT FORMS OF PRAYER, &c. FOR SEVERAL OCCASIONS.,
"Ta Padjer eer bioys as bree Credjue, n’egooish cha vod persoon erbee ve ny Chreestee vie, ny dy bragh jercal rish Bannaght Yee ’sy theihll shoh, ny rish saualtys e Annym ’sy theihll ta ry heet.—Te son laccal smooinaghtyn cair dy vod persoon erbee, ny lught-thie creestee lhiggey shaghey dy ghoaill Padjer gaghlaa gys Jee: Shegin da fyss ve ec ny ’smee-hushtee,[121] dy lhisagh nyn marrant y ve er Mieys as Ard-charailys Yee son nyn slaynt as Niart, yn cummal seose eu hene as ny lught-thieyn eu, as son dagh nhee ta shiu goaill solley jeh ’sy theihll. Foddee Deiney tooilleil as laboraght dy kinjagh ayns nyn aghtyn beaghee; ny yei bee ooilley nyn farrys-thie as kiarail ayns fardail as gyn vondeish fegooish bannaght Yee orroo; Son “mannagh vel y Chiarn troggal y thie: t’an obbyr oc ayns fardail ta dy hroggal eh, as cha vel eh agh obbyr callit, dy vel shiu ayns siyr dy irree dy moghey, as cha anmagh goaill fea, as gee yn arran dy imnea.” Psalm cxxvii. 1—3.","Prayer is the very life and soul of Religion, without which it is impossible to become holy in this world, or to attain to a life of happiness in the world to come. It is for want of consideration that any person or Christian family can live in the disuse of this necessary duty: The most unlearned must know, that they depend upon the goodness of God’s Providence for their health and strength, and for all the comforts and conveniences of life. Men may toil and labour incessantly in the business of their calling; yet all their industry and care, without the Divine blessing will be abortive: for except the Lord build the house, their labour is but lost that build it. And it is but lost labour, that ye haste to rise up early, and so late take rest, and eat the bread of carefulness, Psal. cxxvii. 1—3.",
"Ta ny femyn Spyrrydoil ain chammah as callinagh ymmodee; cha vod shin j’en [sic: jin] hene ny lomarcan shassoo magh noï ny ymmodee miolaghyn shen, ta aarloo dy hoiagh orrin; cha vod mayd jannoo red erbee mie, fegooish cooney yn Spyrryd casherick echey: “cha vod shin, myr t’an agglish ain gra gimmeeaght ayns annaghyn Yee as shirveish eh, fegooish yn Ard-ghrayse echey; shen-y-fa te cooie, cair, as nyn gurrym kainlt, dy ghoaill Padjer dy kinjagh son pardoon as shee; son niart as aigney creeoil dy wooiys eh; son e vannaght as e choadey ’sy laa as ’syn Oie; son baase bannee, as irree seose reesht gerjoliagh [sic: gerjoilagh] gys y vea dy bragh farraghtyn.","[89] Many are our spiritual as well as our bodily necessities; we are not able of ourselves to withstand those manifold temptations, which are likely to beset us; we can do no good things without the assistance of the Holy Spirit: “we are not able,” as our Church expresses it, “to walk in the Commandments of God, and to serve Him, without His special grace;” therefore it is meet, right, and our bounden duty, to pray constantly for pardon and peace; for strength and a disposition to do His will; for His blessing and protection by day and night; for an happy death, and a glorious resurrection to life eternal.",
